,Unnamed: 0,HomeTeam,AwayTeam,Season,Round,Result,TrueForecast,CalculatedForecast,ELO_Rating_K,Variance,Density,RPS,HomeRating,AwayRating,Home_elo_rating,Away_elo_rating
23090,23090,0,88,0,111,draw,0.29-0.29-0.42,0.40-0.29-0.31,17,0,0.4526130653266332,0.12879737474568553,922.254457045848,1021.6271508384967,958.8063993316672,974.3099591079781
23540,23540,0,78,0,121,draw,0.44-0.28-0.28,0.32-0.29-0.39,17,0,0.4526130653266332,0.12695910478023634,918.9292524797467,911.2047261963237,955.2671879885594,1027.915537932808
23633,23633,0,76,0,123,home,0.74-0.17-0.10,0.60-0.23-0.16,17,0,0.4526130653266332,0.09201463822857577,916.1767433576654,695.3069621490814,955.0873569534771,834.7407661989549
24280,24280,0,62,0,137,away,0.15-0.22-0.63,0.24-0.27-0.49,17,0,0.4526130653266332,0.15865589427583587,960.1268469955203,1196.7078885493015,953.998029424882,1097.2089048358416
24529,24529,0,56,0,143,draw,0.38-0.29-0.33,0.43-0.28-0.29,17,0,0.4526130653266332,0.13286937036222504,965.2000395075336,997.6736720096503,942.9445853487987,940.9486447583722
24633,24633,0,54,0,145,draw,0.38-0.29-0.33,0.25-0.28-0.47,17,0,0.4526130653266332,0.14356615760443267,978.7386416302584,1010.0659794713957,940.9749895571359,1073.2765173640712
24720,24720,0,52,0,147,home,0.30-0.29-0.42,0.29-0.29-0.42,17,0,0.4526130653266332,0.3380509419104936,974.0284353529852,1066.8505369999175,942.2449661462821,1038.7563727839854
24818,24818,0,50,0,149,away,0.23-0.27-0.51,0.29-0.28-0.43,17,0,0.4526130653266332,0.2037559002479576,978.2181450524913,1132.1810901347665,963.1063192572767,1065.6280622041436
24908,24908,0,48,0,151,away,0.67-0.20-0.13,0.53-0.26-0.21,17,0,0.4526130653266332,0.4540441793582825,979.3225775202293,813.0253716461099,955.1565424841664,883.7582438154419
25083,25083,0,44,0,155,home,0.44-0.28-0.28,0.39-0.29-0.32,17,0,0.4526130653266332,0.23372711005290614,977.382116101768,968.6985777384191,956.1872027517633,977.9368630292488
25522,25522,0,34,0,165,home,0.37-0.29-0.34,0.34-0.29-0.37,17,0,0.4526130653266332,0.29061577472733346,969.6931229884807,1011.9374259709622,971.5041972837507,1035.4263366579269
25703,25703,0,30,0,169,home,0.51-0.26-0.22,0.50-0.27-0.23,17,0,0.4526130653266332,0.15272545708574664,980.5851706536096,921.334266626219,989.1951050780713,940.1310847635792
